Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Wallingford,New Haven,P,98.0,41276.0,291668.0,7.1,34287.0,0.83,70380.0,1.7,453558.0,9.3,448.0,15698.0,0.4,183317.0,4.4,1564443.0,37.9,1429806.0,34.64,208201.0,830895.0,1265673.0,30.7
1996,Warren,Litchfield,P,23.0,1238.0,10000.0,8.1,750.0,0.61,90.0,0.1,7608.0,5.9,38.0,372.0,0.3,11276.0,9.1,21351.0,17.25,13000.0,10.5,3686.0,9808.0,18258.0,14.7
1996,Washington - Gunn,Litchfield,P,17.0,4009.0,22500.0,5.6,2319.0,0.58,4992.0,1.2,36961.0,8.9,133.0,2183.0,0.5,32454.0,8.1,224141.0,55.91,30000.0,7.48,21913.0,91105.0,157614.0,39.3
1996,Waterbury - Silas Bron.,New Haven,P,162.0,107554.0,332007.0,3.1,42828.0,0.4,82569.0,0.8,211285.0,1.7,401.0,12151.0,0.1,356760.0,3.3,2014528.0,18.73,1749627.0,16.27,184747.0,1413927.0,1779658.0,16.5
1996,Waterford,New London,P,7.0,17312.0,55280.0,4.6,11636.0,0.67,17638.0,1.0,262378.0,9.2,426.0,9646.0,0.6,111048.0,6.4,1038182.0,59.97,977948.0,56.49,130702.0,658907.0,841858.0,48.6
1996,Watertown,Litchfield,P,111.0,21334.0,112683.0,5.3,9713.0,0.46,58101.0,2.7,124593.0,5.1,92.0,2862.0,0.1,68295.0,3.2,490281.0,22.98,460000.0,21.56,77901.0,228513.0,390849.0,18.3
1996,West Hartford,Hartford,P,42.0,57056.0,518079.0,9.1,29823.0,0.52,187896.0,3.3,805838.0,11.8,754.0,30278.0,0.5,279842.0,4.9,2686463.0,47.08,2653595.0,46.51,207663.0,1569208.0,1942778.0,34.1
1996,West Haven,New Haven,P,154.0,52477.0,132080.0,2.5,23022.0,0.44,12473.0,0.2,234103.0,4.1,67.0,6377.0,0.1,145944.0,2.8,1022320.0,19.48,1003004.0,19.11,120598.0,570465.0,788612.0,15.0
1996,Westbrook,Middlesex,P,33.0,5404.0,39000.0,7.2,3500.0,0.65,3323.0,0.6,70538.0,10.9,80.0,1480.0,0.3,38360.0,7.1,219586.0,40.63,202482.0,37.47,44626.0,135755.0,189092.0,35.0
1996,Weston,Fairfield,P,5.0,9066.0,55280.0,4.6,5243.0,0.46,5810.0,,114717.0,12.3,52.0,1772.0,0.2,53223.0,5.9,253549.0,27.97,247438.0,27.29,43714.0,158202.0,213209.0,23.5
1996,Westport,Fairfield,P,4.0,24400.0,380647.0,15.6,14792.0,0.61,94273.0,3.9,496659.0,15.8,706.0,18544.0,0.8,189556.0,7.8,2429613.0,99.57,2211820.0,90.65,329207.0,1485668.0,2054893.0,84.2
1996,Wethersfield,Hartford,P,59.0,24004.0,207165.0,8.6,11020.0,0.46,44547.0,1.9,193233.0,6.6,234.0,8632.0,0.4,130930.0,5.5,769374.0,32.05,759941.0,31.66,95439.0,482064.0,655420.0,27.3
1996,Willington,Tolland,P,143.0,6385.0,12870.0,2.0,3746.0,0.59,3718.0,0.6,17073.0,2.6,8.0,747.0,0.1,12682.0,2.0,56648.0,8.87,52100.0,8.16,13729.0,34304.0,53661.0,8.4
